value_en	description_en	codesystem	code	description_code
SureSelectXT Custom 6-11.9Mb, 96, RO by Agilent Technologies	SureSelectXT Custom 6-11.9Mb, 96, RO by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT209	SureSelectXT Custom 6-11.9Mb, 96, RO by Agilent Technologies
SureSelectXT Custom 0.5-2.9Mb, 16 by Agilent Technologies	SureSelectXT Custom 0.5-2.9Mb, 16 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT281	SureSelectXT Custom 0.5-2.9Mb, 16 by Agilent Technologies
KAPA Library Preparation Kits by Roche	KAPA Library Preparation Kits by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT74	KAPA Library Preparation Kits by Roche
ClearSeq Inher Dis. Plus, 96 auto, XT2 by Agilent Technologies	ClearSeq Inher Dis. Plus, 96 auto, XT2 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT609	ClearSeq Inher Dis. Plus, 96 auto, XT2 by Agilent Technologies
RhinoSeq DNA Library Preparation Kit by SeqOnce Biosciences	RhinoSeq DNA Library Preparation Kit by SeqOnce Biosciences sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT79	RhinoSeq DNA Library Preparation Kit by SeqOnce Biosciences
SSEL XT CRE V2, 96 rxn by Agilent Technologies	SSEL XT CRE V2, 96 rxn by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT523	SSEL XT CRE V2, 96 rxn by Agilent Technologies
Auto Universal Plant ChIP-seq kit by Diagenode	Auto Universal Plant ChIP-seq kit by Diagenode sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT24	Auto Universal Plant ChIP-seq kit by Diagenode
HaloPlexHS 501kb - 2.5Mb, ILM, 96 by Agilent Technologies	HaloPlexHS 501kb - 2.5Mb, ILM, 96 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT590	HaloPlexHS 501kb - 2.5Mb, ILM, 96 by Agilent Technologies
ClearSeq Cancer, HS, ILM, 16 by Agilent Technologies	ClearSeq Cancer, HS, ILM, 16 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT595	ClearSeq Cancer, HS, ILM, 16 by Agilent Technologies
SureSelectXT Custom 1Kb-499kb, 96 by Agilent Technologies	SureSelectXT Custom 1Kb-499kb, 96 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT246	SureSelectXT Custom 1Kb-499kb, 96 by Agilent Technologies
