value_en	description_en	codesystem	code	description_code
British	British	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0462	British
American	American	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0463	American
American Samoan	American Samoan	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0464	American Samoan
Cook Islander	Cook Islander	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0465	Cook Islander
Fijian	Fijian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0466	Fijian
French Polynesian	French Polynesian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0467	French Polynesian
Guamanian	Guamanian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0468	Guamanian
I-Kiribati	I-Kiribati	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0469	I-Kiribati
Marshallese	Marshallese	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0470	Marshallese
Micronesian	Micronesian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0471	Micronesian
Nauruan	Nauruan	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0472	Nauruan
New Caledonian	New Caledonian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0473	New Caledonian
Niuean	Niuean	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0474	Niuean
Palauan	Palauan	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0475	Palauan
Papua New Guinean	Papua New Guinean	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0476	Papua New Guinean
Pitcairn Islander	Pitcairn Islander	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0477	Pitcairn Islander
Samoan	Samoan	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0478	Samoan
Solomon Islander	Solomon Islander	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0479	Solomon Islander
Tokelauan	Tokelauan	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0480	Tokelauan
Tongan	Tongan	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0481	Tongan
Tuvaluan	Tuvaluan	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0482	Tuvaluan
Ni-Vanuato	Ni-Vanuato	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0483	Ni-Vanuato
Wallis and Futuna Islander	Wallis and Futuna Islander	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0484	Wallis and Futuna Islander
Bangladeshi	Bangladeshi	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0485	Bangladeshi
Bhutanese	Bhutanese	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0486	Bhutanese
Indian	Indian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0487	Indian
Maldivian	Maldivian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0488	Maldivian
Nepalese	Nepalese	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0489	Nepalese
Pakistani	Pakistani	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0490	Pakistani
Sri Lankan	Sri Lankan	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0491	Sri Lankan
Bruneian	Bruneian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0492	Bruneian
Cambodian	Cambodian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0493	Cambodian
Indonesian	Indonesian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0494	Indonesian
Lao	Lao	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0495	Lao
Malaysian	Malaysian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0496	Malaysian
Burmese	Burmese	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0497	Burmese
Filipino	Filipino	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0498	Filipino
Thai	Thai	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0500	Thai
Timorese	Timorese	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0501	Timorese
Vietnamese	Vietnamese	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0502	Vietnamese
Cameroonian	Cameroonian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0503	Cameroonian
Cape Verdean	Cape Verdean	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0504	Cape Verdean
Chadian	Chadian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0505	Chadian
Ethiopian	Ethiopian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0506	Ethiopian
Kenyan	Kenyan	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0507	Kenyan
Liberian	Liberian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0508	Liberian
Malagasy	Malagasy	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0509	Malagasy
Mauritanian	Mauritanian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0510	Mauritanian
Mauritian	Mauritian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0511	Mauritian
Mahoran	Mahoran	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0512	Mahoran
Namibian	Namibian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0513	Namibian
Sao Tomean	Sao Tomean	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0514	Sao Tomean
Senegalese	Senegalese	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0515	Senegalese
Seychellois	Seychellois	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0516	Seychellois
Sierra Leonean	Sierra Leonean	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0517	Sierra Leonean
Somali	Somali	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0518	Somali
South African	South African	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0519	South African
St. Helenian	St. Helenian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0520	St. Helenian
Ugandan	Ugandan	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0521	Ugandan
Angolan	Angolan	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0522	Angolan
Beninese	Beninese	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0523	Beninese
Motswana	Motswana	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0524	Motswana
Burkinabe	Burkinabe	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0525	Burkinabe
Burundian	Burundian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0526	Burundian
Central African	Central African	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0527	Central African
Comoran	Comoran	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0528	Comoran
Congolese	Congolese	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0529	Congolese
Ivoirian	Ivoirian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0530	Ivoirian
Djiboutian	Djiboutian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0531	Djiboutian
Equatorial Guinean	Equatorial Guinean	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0532	Equatorial Guinean
Eritrean	Eritrean	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0533	Eritrean
Gabonese	Gabonese	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0534	Gabonese
Gambian	Gambian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0535	Gambian
Ghanaian	Ghanaian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0536	Ghanaian
Guinean	Guinean	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0537	Guinean
Bissau-Guinean	Bissau-Guinean	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0538	Bissau-Guinean
Mosotho	Mosotho	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0539	Mosotho
