value_en	description_en	codesystem	code	description_code
urinary bladder detrusor smooth muscle	urinary bladder detrusor smooth muscle	UBERON	http://purl.obolibrary.org/obo/UBERON_0000381	urinary bladder detrusor smooth muscle
apocrine sweat gland	apocrine sweat gland	UBERON	http://purl.obolibrary.org/obo/UBERON_0000382	apocrine sweat gland
musculature of body	musculature of body	UBERON	http://purl.obolibrary.org/obo/UBERON_0000383	musculature of body
meniscus	meniscus	UBERON	http://purl.obolibrary.org/obo/UBERON_0000387	meniscus
epiglottis	epiglottis	UBERON	http://purl.obolibrary.org/obo/UBERON_0000388	epiglottis
lens cortex	lens cortex	UBERON	http://purl.obolibrary.org/obo/UBERON_0000389	lens cortex
lens nucleus	lens nucleus	UBERON	http://purl.obolibrary.org/obo/UBERON_0000390	lens nucleus
leptomeninx	leptomeninx	UBERON	http://purl.obolibrary.org/obo/UBERON_0000391	leptomeninx
longissimus muscle	longissimus muscle	UBERON	http://purl.obolibrary.org/obo/UBERON_0000392	longissimus muscle
cochlear ganglion	cochlear ganglion	UBERON	http://purl.obolibrary.org/obo/UBERON_0000395	cochlear ganglion
vallate papilla	vallate papilla	UBERON	http://purl.obolibrary.org/obo/UBERON_0000396	vallate papilla
colonic epithelium	colonic epithelium	UBERON	http://purl.obolibrary.org/obo/UBERON_0000397	colonic epithelium
cartilage tissue of sternum	cartilage tissue of sternum	UBERON	http://purl.obolibrary.org/obo/UBERON_0000398	cartilage tissue of sternum
jejunal mucosa	jejunal mucosa	UBERON	http://purl.obolibrary.org/obo/UBERON_0000399	jejunal mucosa
jejunal epithelium	jejunal epithelium	UBERON	http://purl.obolibrary.org/obo/UBERON_0000400	jejunal epithelium
mandibular ramus	mandibular ramus	UBERON	http://purl.obolibrary.org/obo/UBERON_0000401	mandibular ramus
nasal vestibule	nasal vestibule	UBERON	http://purl.obolibrary.org/obo/UBERON_0000402	nasal vestibule
scalp	scalp	UBERON	http://purl.obolibrary.org/obo/UBERON_0000403	scalp
sympathetic trunk	sympathetic trunk	UBERON	http://purl.obolibrary.org/obo/UBERON_0000407	sympathetic trunk
vertebral ganglion	vertebral ganglion	UBERON	http://purl.obolibrary.org/obo/UBERON_0000408	vertebral ganglion
serous gland	serous gland	UBERON	http://purl.obolibrary.org/obo/UBERON_0000409	serous gland
