value	description	codesystem	code	iri
lymphatic valve	lymphatic valve	UBERON	0034949	http://purl.obolibrary.org/obo/UBERON_0034949
lymph sac of lymph heart	lymph sac of lymph heart	UBERON	0034950	http://purl.obolibrary.org/obo/UBERON_0034950
subcutaneous lymph sac	subcutaneous lymph sac	UBERON	0034951	http://purl.obolibrary.org/obo/UBERON_0034951
intrapleuroperitoneal lymph sac	intrapleuroperitoneal lymph sac	UBERON	0034952	http://purl.obolibrary.org/obo/UBERON_0034952
embryonic lymph sac	embryonic lymph sac	UBERON	0034953	http://purl.obolibrary.org/obo/UBERON_0034953
retroperitoneal embryonic lymph sac	retroperitoneal embryonic lymph sac	UBERON	0034958	http://purl.obolibrary.org/obo/UBERON_0034958
right lymph heart	right lymph heart	UBERON	0034959	http://purl.obolibrary.org/obo/UBERON_0034959
left lymph heart	left lymph heart	UBERON	0034960	http://purl.obolibrary.org/obo/UBERON_0034960
embryonic lymph heart	embryonic lymph heart	UBERON	0034961	http://purl.obolibrary.org/obo/UBERON_0034961
copulatory lymph heart	copulatory lymph heart	UBERON	0034962	http://purl.obolibrary.org/obo/UBERON_0034962
lateral fornix of vagina	lateral fornix of vagina	UBERON	0034963	http://purl.obolibrary.org/obo/UBERON_0034963
superficial epigastric artery	superficial epigastric artery	UBERON	0034964	http://purl.obolibrary.org/obo/UBERON_0034964
middle thyroid vein	middle thyroid vein	UBERON	0034965	http://purl.obolibrary.org/obo/UBERON_0034965
sagittal sulcus	sagittal sulcus	UBERON	0034968	http://purl.obolibrary.org/obo/UBERON_0034968
epithelial layer of duct	epithelial layer of duct	UBERON	0034969	http://purl.obolibrary.org/obo/UBERON_0034969
aortic body	aortic body	UBERON	0034971	http://purl.obolibrary.org/obo/UBERON_0034971
jugular body	jugular body	UBERON	0034972	http://purl.obolibrary.org/obo/UBERON_0034972
paraganglion (generic)	paraganglion (generic)	UBERON	0034978	http://purl.obolibrary.org/obo/UBERON_0034978
nonchromaffin paraganglion	nonchromaffin paraganglion	UBERON	0034979	http://purl.obolibrary.org/obo/UBERON_0034979
jugular bulb	jugular bulb	UBERON	0034980	http://purl.obolibrary.org/obo/UBERON_0034980
superior bulb of internal jugular vein	superior bulb of internal jugular vein	UBERON	0034981	http://purl.obolibrary.org/obo/UBERON_0034981
inferior bulb of internal jugular vein	inferior bulb of internal jugular vein	UBERON	0034982	http://purl.obolibrary.org/obo/UBERON_0034982
ischial tuberosity	ischial tuberosity	UBERON	0034983	http://purl.obolibrary.org/obo/UBERON_0034983
nerve to quadratus femoris	nerve to quadratus femoris	UBERON	0034984	http://purl.obolibrary.org/obo/UBERON_0034984
sacral nerve plexus	sacral nerve plexus	UBERON	0034986	http://purl.obolibrary.org/obo/UBERON_0034986
lumbar nerve plexus	lumbar nerve plexus	UBERON	0034987	http://purl.obolibrary.org/obo/UBERON_0034987
tendon of obturator internus	tendon of obturator internus	UBERON	0034988	http://purl.obolibrary.org/obo/UBERON_0034988
amygdalopiriform transition area	amygdalopiriform transition area	UBERON	0034989	http://purl.obolibrary.org/obo/UBERON_0034989
anterior cortical amygdaloid nucleus	anterior cortical amygdaloid nucleus	UBERON	0034991	http://purl.obolibrary.org/obo/UBERON_0034991
basal ventral medial nucleus of thalamus	basal ventral medial nucleus of thalamus	UBERON	0034993	http://purl.obolibrary.org/obo/UBERON_0034993
hindbrain cortical intermediate zone	hindbrain cortical intermediate zone	UBERON	0034994	http://purl.obolibrary.org/obo/UBERON_0034994
jaw mesenchyme	jaw mesenchyme	UBERON	0034995	http://purl.obolibrary.org/obo/UBERON_0034995
outer renal medulla loop of Henle	outer renal medulla loop of Henle	UBERON	0034996	http://purl.obolibrary.org/obo/UBERON_0034996
renal medulla loop of Henle	renal medulla loop of Henle	UBERON	0034997	http://purl.obolibrary.org/obo/UBERON_0034997
posterolateral cortical amygdaloid nucleus	posterolateral cortical amygdaloid nucleus	UBERON	0034999	http://purl.obolibrary.org/obo/UBERON_0034999
posteromedial cortical amygdaloid nucleus	posteromedial cortical amygdaloid nucleus	UBERON	0035001	http://purl.obolibrary.org/obo/UBERON_0035001
preputial swelling	preputial swelling	UBERON	0035004	http://purl.obolibrary.org/obo/UBERON_0035004
preputial swelling of male	preputial swelling of male	UBERON	0035005	http://purl.obolibrary.org/obo/UBERON_0035005
preputial swelling of female	preputial swelling of female	UBERON	0035006	http://purl.obolibrary.org/obo/UBERON_0035006
nasal concha cartilage	nasal concha cartilage	UBERON	0035007	http://purl.obolibrary.org/obo/UBERON_0035007
central gray substance	central gray substance	UBERON	0035011	http://purl.obolibrary.org/obo/UBERON_0035011
temporal cortex association area	temporal cortex association area	UBERON	0035013	http://purl.obolibrary.org/obo/UBERON_0035013
functional part of brain	functional part of brain	UBERON	0035014	http://purl.obolibrary.org/obo/UBERON_0035014
association cortex	association cortex	UBERON	0035015	http://purl.obolibrary.org/obo/UBERON_0035015
tactile mechanoreceptor	tactile mechanoreceptor	UBERON	0035016	http://purl.obolibrary.org/obo/UBERON_0035016
nociceptor	nociceptor	UBERON	0035017	http://purl.obolibrary.org/obo/UBERON_0035017
thermoreceptor	thermoreceptor	UBERON	0035018	http://purl.obolibrary.org/obo/UBERON_0035018
inferior olive, beta nucleus	inferior olive, beta nucleus	UBERON	0035019	http://purl.obolibrary.org/obo/UBERON_0035019
left vagus X nerve trunk	left vagus X nerve trunk	UBERON	0035020	http://purl.obolibrary.org/obo/UBERON_0035020
right vagus X nerve trunk	right vagus X nerve trunk	UBERON	0035021	http://purl.obolibrary.org/obo/UBERON_0035021
