value_en	description_en	codesystem	code	description_code	iri
tooth 1MD	tooth 1MD	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	2001146
subclavian artery	subclavian artery	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0001533
internal rim of coracoid foramen	internal rim of coracoid foramen	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	4200206
pyloric sphincter	pyloric sphincter	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0001202
cerebellum vermis lobule IV	cerebellum vermis lobule IV	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0004077
connective tissue of prostate gland	connective tissue of prostate gland	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0015130
cerebellum vermis lobule IX	cerebellum vermis lobule IX	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0004078
anterior lateral mesoderm	anterior lateral mesoderm	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	2005039
posterior part of tongue	posterior part of tongue	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0010033
lateral wall of nasopharynx	lateral wall of nasopharynx	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0035383
ansiform lobule	ansiform lobule	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0005348
dense regular elastic tissue	dense regular elastic tissue	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0015764
condyle of tibia	condyle of tibia	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0009989
mesenchyme pectoral fin	mesenchyme pectoral fin	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0003934
presumptive atrium primitive heart tube	presumptive atrium primitive heart tube	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	2002229
urothelium	urothelium	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0000365
external medullary lamina of thalamus	external medullary lamina of thalamus	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0014534
antorbital fenestra	antorbital fenestra	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0014465
nucleus recessus preopticus	nucleus recessus preopticus	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0014666
anterior prenasal cartilage	anterior prenasal cartilage	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	3010827
submandibular gland	submandibular gland	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0001736
fourth ventricle median aperture	fourth ventricle median aperture	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0003991
proximal phalanx of digit 1	proximal phalanx of digit 1	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0014501
central gray substance of midbrain	central gray substance of midbrain	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0003040
proximal phalanx of digit 4	proximal phalanx of digit 4	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0014504
nasal ciliary artery	nasal ciliary artery	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	2005053
proximal phalanx of digit 5	proximal phalanx of digit 5	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0014505
proximal phalanx of digit 2	proximal phalanx of digit 2	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0014502
proximal phalanx of digit 3	proximal phalanx of digit 3	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0014503
prominentia apicalis dorsalis	prominentia apicalis dorsalis	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	3000688
dorsal head of rib	dorsal head of rib	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0011652
adult muscle system	adult muscle system	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	6003218
mucosa of left uterine tube	mucosa of left uterine tube	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0005012
posterolateral visual area	posterolateral visual area	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0035897
m. flexor indicis superficialis proprius	m. flexor indicis superficialis proprius	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	3010815
supraneural 9 element	supraneural 9 element	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	4300221
thoracic spinal cord ventral column	thoracic spinal cord ventral column	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0005852
basioccipital posterodorsal region	basioccipital posterodorsal region	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	2000337
tectobulbar tract	tectobulbar tract	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0002164
accessory ciliary ganglion	accessory ciliary ganglion	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0035776
intestinal bulb epithelium	intestinal bulb epithelium	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	2005126
skin of anterior chest	skin of anterior chest	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0019200
lobar bronchus mesenchyme	lobar bronchus mesenchyme	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0004884
falx cerebelli	falx cerebelli	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0035425
posterior cerebral artery	posterior cerebral artery	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0001636
latissimus dorsi pre-muscle mass	latissimus dorsi pre-muscle mass	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0010982
chemoarchitectural part of striatum	chemoarchitectural part of striatum	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0025736
cochlear duct of membranous labyrinth	cochlear duct of membranous labyrinth	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0001855
caudofemoralis	caudofemoralis	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0013221
ventral root of spinal cord	ventral root of spinal cord	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0002260
cardiac endomysium	cardiac endomysium	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0011897
tracheobronchial lymph node	tracheobronchial lymph node	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0015472
basibranchial 5 bone	basibranchial 5 bone	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	2001701
postcommissural fornix of brain	postcommissural fornix of brain	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0003016
smegma	smegma	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0003670
premaxilla maxillary process	premaxilla maxillary process	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	4500018
esophagogastric junction muscularis propria	esophagogastric junction muscularis propria	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0035841
elastica externa of notochord	elastica externa of notochord	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0013655
dorsal nerve root of thoracic spinal cord	dorsal nerve root of thoracic spinal cord	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0014616
adventitia of ureter	adventitia of ureter	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0001252
reproductive gland secretion	reproductive gland secretion	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0022293
